"DateTime","open","high","low","close"
2021-10-29 13:36:00,374.82,374.84,374.82,374.84
2021-10-29 13:37:00,374.86,374.92,374.86,374.92
2021-10-29 13:38:00,375,375.08,375,375.08
2021-10-29 13:39:00,375.1,375.1,375.1,375.1
2021-10-29 13:40:00,375.08,375.28,375.08,375.2
2021-10-29 13:41:00,375.1,375.1,375.1,375.1
2021-10-29 13:42:00,NaN,NaN,NaN,NaN
2021-10-29 13:43:00,374.92,374.94,374.9,374.9
2021-10-29 13:44:00,374.88,374.88,374.86,374.86
2021-10-29 13:45:00,374.84,374.84,374.8,374.8
2021-10-29 13:46:00,374.8,374.8,374.8,374.8
2021-10-29 13:47:00,374.8,374.8,374.72,374.74
2021-10-29 13:48:00,NaN,NaN,NaN,NaN
2021-10-29 13:49:00,374.82,374.92,374.82,374.92
2021-10-29 13:50:00,374.92,374.96,374.9,374.96
2021-10-29 13:51:00,374.96,375.02,374.96,375.02
2021-10-29 13:52:00,375.02,375.06,375.02,375.06
2021-10-29 13:53:00,375.06,375.06,375.06,375.06
2021-10-29 13:54:00,375.08,375.08,375.06,375.06
2021-10-29 13:55:00,375.04,375.08,375.04,375.06
2021-10-29 13:56:00,375.06,375.08,375.04,375.08
2021-10-29 13:57:00,375.06,375.06,375,375
2021-10-29 13:58:00,375,375,374.96,374.98
2021-10-29 13:59:00,374.98,374.98,374.96,374.96
2021-10-29 14:00:00,NaN,NaN,NaN,NaN
2021-10-29 14:01:00,374.9,374.9,374.82,374.82
2021-10-29 14:02:00,374.82,374.86,374.82,374.86
2021-10-29 14:03:00,374.84,374.96,374.84,374.96
2021-10-29 14:04:00,374.96,374.96,374.96,374.96
2021-10-29 14:05:00,374.78,374.78,374.78,374.78
2021-10-29 14:06:00,374.88,374.9,374.88,374.9
2021-10-29 14:07:00,374.9,374.94,374.9,374.94
2021-10-29 14:08:00,NaN,NaN,NaN,NaN
2021-10-29 14:09:00,374.92,374.92,374.88,374.88
2021-10-29 14:10:00,374.88,374.88,374.88,374.88
2021-10-29 14:11:00,NaN,NaN,NaN,NaN
2021-10-29 14:12:00,374.84,374.84,374.82,374.82
2021-10-29 14:13:00,374.82,374.82,374.74,374.74
2021-10-29 14:14:00,374.74,374.78,374.72,374.76
2021-10-29 14:15:00,374.78,374.78,374.72,374.72
2021-10-29 14:16:00,374.72,374.74,374.72,374.72
2021-10-29 14:17:00,374.7,374.74,374.7,374.7
2021-10-29 14:18:00,374.72,374.74,374.7,374.72
2021-10-29 14:19:00,374.72,374.74,374.68,374.74
2021-10-29 14:20:00,374.76,374.84,374.76,374.78
2021-10-29 14:21:00,374.78,374.8,374.78,374.8
2021-10-29 14:22:00,374.82,374.82,374.82,374.82
2021-10-29 14:23:00,374.78,374.78,374.72,374.74
2021-10-29 14:24:00,374.74,374.74,374.74,374.74
2021-10-29 14:25:00,374.8,374.88,374.8,374.88
2021-10-29 14:26:00,374.88,374.9,374.88,374.9
2021-10-29 14:27:00,374.92,374.92,374.9,374.9
2021-10-29 14:28:00,374.86,374.86,374.8,374.84
2021-10-29 14:29:00,374.8,374.86,374.78,374.86
2021-10-29 14:30:00,374.86,374.88,374.86,374.86
2021-10-29 14:31:00,374.9,374.9,374.9,374.9
2021-10-29 14:32:00,374.9,374.94,374.9,374.94
2021-10-29 14:33:00,374.9,374.9,374.88,374.88
2021-10-29 14:34:00,374.94,374.94,374.86,374.94
2021-10-29 14:35:00,374.92,374.92,374.92,374.92
2021-10-29 14:36:00,NaN,NaN,NaN,NaN
2021-10-29 14:37:00,374.76,374.76,374.72,374.76
2021-10-29 14:38:00,374.76,374.76,374.74,374.74
2021-10-29 14:39:00,374.74,374.74,374.7,374.7
2021-10-29 14:40:00,374.7,374.72,374.7,374.7
2021-10-29 14:41:00,374.7,374.76,374.7,374.7
2021-10-29 14:42:00,374.7,374.7,374.68,374.7
2021-10-29 14:43:00,374.7,374.74,374.68,374.74
2021-10-29 14:44:00,374.7,374.74,374.68,374.68
2021-10-29 14:45:00,374.68,374.7,374.68,374.7
2021-10-29 14:46:00,374.7,374.7,374.68,374.68
2021-10-29 14:47:00,374.66,374.66,374.66,374.66
2021-10-29 14:48:00,374.66,374.68,374.6,374.6
2021-10-29 14:49:00,374.6,374.66,374.58,374.58
2021-10-29 14:50:00,374.58,374.58,374.52,374.52
2021-10-29 14:51:00,374.54,374.58,374.52,374.58
2021-10-29 14:52:00,374.52,374.58,374.52,374.58
2021-10-29 14:53:00,NaN,NaN,NaN,NaN
2021-10-29 14:54:00,374.5,374.5,374.5,374.5
2021-10-29 14:55:00,NaN,NaN,NaN,NaN
2021-10-29 14:56:00,374.44,374.44,374.42,374.42
2021-10-29 14:57:00,374.42,374.44,374.42,374.44
2021-10-29 14:58:00,374.44,374.44,374.42,374.42
2021-10-29 14:59:00,374.44,374.46,374.4,374.4
2021-10-29 15:00:00,374.4,374.4,374.4,374.4
2021-10-29 21:00:00,371.6,372.22,371.6,371.96
2021-10-29 21:01:00,371.8,372,371.74,371.84
2021-10-29 21:02:00,371.78,372,371.76,371.96
2021-10-29 21:03:00,371.92,372.16,371.86,372.16
2021-10-29 21:04:00,372.36,372.38,372.24,372.38
2021-10-29 21:05:00,372.3,372.6,372.28,372.36
2021-10-29 21:06:00,372.32,373.34,372.16,373
2021-10-29 21:07:00,372.96,373.04,372.6,372.8
2021-10-29 21:08:00,372.84,373.04,372.82,372.98
2021-10-29 21:09:00,373,373.38,372.98,373.24
2021-10-29 21:10:00,373.24,373.24,373,373
2021-10-29 21:11:00,372.96,373.02,372.88,372.96
2021-10-29 21:12:00,373.02,373.02,372.9,372.9
2021-10-29 21:13:00,373.04,373.04,372.88,372.88
2021-10-29 21:14:00,372.94,372.94,372.8,372.88
2021-10-29 21:15:00,372.88,372.88,372.72,372.72
2021-10-29 21:16:00,372.6,372.7,372.6,372.7
2021-10-29 21:17:00,372.66,372.8,372.66,372.8
2021-10-29 21:18:00,372.88,373.12,372.88,372.98
2021-10-29 21:19:00,372.9,372.96,372.9,372.96
2021-10-29 21:20:00,372.82,372.82,372.64,372.64
2021-10-29 21:21:00,372.54,372.64,372.54,372.64
2021-10-29 21:22:00,372.5,372.5,372.5,372.5
2021-10-29 21:23:00,372.46,372.46,372.3,372.44
2021-10-29 21:24:00,372.5,372.54,372.44,372.5
2021-10-29 21:25:00,372.42,372.42,372.42,372.42
2021-10-29 21:26:00,372.34,372.48,372.22,372.24
2021-10-29 21:27:00,372.3,372.38,372.22,372.22
2021-10-29 21:28:00,372.24,372.46,372.24,372.46
2021-10-29 21:29:00,372.4,372.48,372.4,372.48
2021-10-29 21:30:00,372.5,372.54,372.32,372.54
2021-10-29 21:31:00,372.54,372.54,372.48,372.54
2021-10-29 21:32:00,372.62,372.68,372.56,372.56
2021-10-29 21:33:00,372.48,372.48,372.32,372.38
2021-10-29 21:34:00,372.24,372.34,371.92,372.18
2021-10-29 21:35:00,372.08,372.14,371.7,371.74
2021-10-29 21:36:00,371.94,372.1,371.92,372.02
2021-10-29 21:37:00,372,372.1,372,372.08
2021-10-29 21:38:00,372.08,372.08,371.96,371.96
2021-10-29 21:39:00,372.06,372.06,372.06,372.06
2021-10-29 21:40:00,372.08,372.12,372,372.12
2021-10-29 21:41:00,371.9,372.02,371.9,371.92
2021-10-29 21:42:00,371.82,371.82,371.68,371.7
2021-10-29 21:43:00,371.82,371.96,371.76,371.76
2021-10-29 21:44:00,371.72,371.72,371.72,371.72
2021-10-29 21:45:00,371.58,371.58,371.22,371.4
2021-10-29 21:46:00,371.38,371.52,371.36,371.52
2021-10-29 21:47:00,371.66,371.74,371.54,371.54
